site_id,segment_id,year,state
843900-99999,5,1997,1
843900-99999,5,1998,1
843900-99999,5,1999,1
843900-99999,5,2000,1
843900-99999,5,2001,1
843900-99999,6,2002,1
843900-99999,6,2003,1
843900-99999,6,2004,1
843900-99999,6,2005,1
843900-99999,6,2006,1
843900-99999,6,2007,1
843900-99999,6,2008,1
843900-99999,6,2009,1
843900-99999,6,2010,1
843900-99999,6,2011,1
843900-99999,6,2012,1
843900-99999,6,2013,1
843900-99999,6,2014,1
843900-99999,6,2015,1
843900-99999,6,2016,1
843900-99999,6,2017,1
843900-99999,6,2018,1
843900-99999,6,2019,1
844520-99999,0,1963,0
844520-99999,0,1964,0
844520-99999,0,1965,0
844520-99999,0,1966,0
844520-99999,0,1967,0
844520-99999,0,1968,0
844520-99999,0,1969,0
844520-99999,0,1970,0
844520-99999,0,1971,0
844520-99999,0,1972,0
844520-99999,0,1973,0
844520-99999,0,1974,0
844520-99999,0,1975,0
844520-99999,1,1976,0
844520-99999,1,1977,0
844520-99999,1,1978,0
844520-99999,1,1979,0
844520-99999,1,1980,0
844520-99999,2,1981,0
844520-99999,2,1982,0
844520-99999,2,1983,0
844520-99999,2,1984,0
844520-99999,2,1985,0
844520-99999,2,1986,0
844520-99999,2,1987,0
844520-99999,2,1988,0
844520-99999,2,1989,0
844520-99999,2,1990,0
844520-99999,3,1991,0
844520-99999,3,1992,0
844520-99999,3,1993,0
844520-99999,3,1994,0
844520-99999,3,1995,0
844520-99999,4,1996,0
844520-99999,4,1997,0
844520-99999,4,1998,0
844520-99999,4,1999,0
844520-99999,4,2000,0
844520-99999,5,2001,0
844520-99999,5,2002,0
844520-99999,5,2003,0
844520-99999,5,2004,0
844520-99999,5,2005,0
844520-99999,5,2006,0
844520-99999,5,2007,0
844520-99999,5,2008,0
844520-99999,5,2009,0
844520-99999,5,2010,0
844520-99999,5,2011,0
844520-99999,5,2012,0
844520-99999,5,2013,0
844520-99999,5,2014,0
844520-99999,5,2015,0
844520-99999,6,2016,0
844520-99999,6,2017,0
844520-99999,6,2018,0
844520-99999,6,2019,0
847520-99999,0,1946,0
847520-99999,0,1947,0
847520-99999,0,1948,0
847520-99999,0,1949,0
847520-99999,0,1950,0
847520-99999,0,1951,0
847520-99999,0,1952,0
847520-99999,0,1953,0
847520-99999,0,1954,0
847520-99999,0,1955,0
847520-99999,0,1956,0
847520-99999,0,1957,0
847520-99999,0,1958,0
847520-99999,0,1959,0
847520-99999,0,1960,0
847520-99999,0,1961,0
847520-99999,0,1962,0
847520-99999,0,1963,0
847520-99999,0,1964,0
847520-99999,1,1965,1
847520-99999,1,1966,1
847520-99999,1,1967,1
847520-99999,1,1968,1
847520-99999,1,1969,1
847520-99999,2,1973,0
847520-99999,2,1974,0
847520-99999,2,1975,0
847520-99999,2,1976,0
847520-99999,2,1977,0
847520-99999,3,1978,0
847520-99999,3,1979,0
847520-99999,3,1980,0
847520-99999,3,1981,0
847520-99999,3,1982,0
847520-99999,4,1983,0
847520-99999,4,1984,0
847520-99999,4,1985,0
847520-99999,4,1986,0
847520-99999,4,1987,0
847520-99999,4,1988,0
847520-99999,4,1989,0
847520-99999,4,1990,0
847520-99999,4,1991,0
847520-99999,4,1992,0
847520-99999,5,1993,0
847520-99999,5,1994,0
847520-99999,5,1995,0
847520-99999,5,1996,0
847520-99999,5,1997,0
847520-99999,6,1998,0
847520-99999,6,1999,0
847520-99999,6,2000,0
847520-99999,6,2001,0
847520-99999,6,2002,0
847520-99999,7,2003,0
847520-99999,7,2004,0
847520-99999,7,2005,0
847520-99999,7,2006,0
847520-99999,7,2007,0
847520-99999,8,2008,0
847520-99999,8,2009,0
847520-99999,8,2010,0
847520-99999,8,2011,0
847520-99999,8,2012,0
847520-99999,9,2013,0
847520-99999,9,2014,0
847520-99999,9,2015,0
847520-99999,9,2016,0
847520-99999,9,2017,0
847520-99999,9,2018,0
847520-99999,9,2019,0
943350-99999,0,1939,1
943350-99999,0,1940,1
943350-99999,0,1941,1
943350-99999,0,1942,1
943350-99999,0,1943,1
943350-99999,1,1944,0
943350-99999,1,1945,0
943350-99999,1,1946,0
943350-99999,1,1947,0
943350-99999,1,1948,0
943350-99999,2,1949,0
943350-99999,2,1950,0
943350-99999,2,1951,0
943350-99999,2,1952,0
943350-99999,2,1953,0
943350-99999,2,1954,0
943350-99999,2,1955,0
943350-99999,2,1956,0
943350-99999,2,1957,0
943350-99999,2,1958,0
943350-99999,3,1959,0
943350-99999,3,1960,0
943350-99999,3,1961,0
943350-99999,3,1962,0
943350-99999,3,1963,0
943350-99999,3,1964,0
943350-99999,3,1965,0
943350-99999,3,1966,0
943350-99999,3,1967,0
943350-99999,3,1968,0
943350-99999,3,1969,0
943350-99999,3,1970,0
943350-99999,3,1971,0
943350-99999,3,1972,0
943350-99999,3,1973,0
943350-99999,4,1974,0
943350-99999,4,1975,0
943350-99999,4,1976,0
943350-99999,4,1977,0
943350-99999,4,1978,0
943350-99999,4,1979,0
943350-99999,4,1980,0
943350-99999,4,1981,0
943350-99999,4,1982,0
943350-99999,4,1983,0
943350-99999,4,1984,0
943350-99999,4,1985,0
943350-99999,4,1986,0
943350-99999,4,1987,0
943350-99999,4,1988,0
943350-99999,4,1989,0
943350-99999,4,1990,0
943350-99999,4,1991,0
943350-99999,4,1992,0
943350-99999,4,1993,0
943350-99999,4,1994,0
943350-99999,4,1995,0
943350-99999,4,1996,0
943350-99999,4,1997,0
943350-99999,4,1998,0
943350-99999,4,1999,0
943350-99999,5,2000,0
943350-99999,5,2001,0
943350-99999,5,2002,0
943350-99999,5,2003,0
943350-99999,5,2004,0
943350-99999,5,2005,0
943350-99999,5,2006,0
943350-99999,5,2007,0
943350-99999,5,2008,0
943350-99999,5,2009,0
943350-99999,6,2010,0
943350-99999,6,2011,0
943350-99999,6,2012,0
943350-99999,6,2013,0
943350-99999,6,2014,0
943350-99999,7,2015,1
943350-99999,7,2016,1
943350-99999,7,2017,1
943350-99999,7,2018,1
943350-99999,7,2019,1
943740-99999,0,1939,0
943740-99999,0,1940,0
943740-99999,0,1941,0
943740-99999,0,1942,0
943740-99999,0,1943,0
943740-99999,1,1944,0
943740-99999,1,1945,0
943740-99999,1,1946,0
943740-99999,1,1947,0
943740-99999,1,1948,0
943740-99999,2,1949,1
943740-99999,2,1950,1
943740-99999,2,1951,1
943740-99999,2,1952,1
943740-99999,2,1953,1
943740-99999,3,1954,0
943740-99999,3,1955,0
943740-99999,3,1956,0
943740-99999,3,1957,0
943740-99999,3,1958,0
943740-99999,4,1959,0
943740-99999,4,1960,0
943740-99999,4,1961,0
943740-99999,4,1962,0
943740-99999,4,1963,0
943740-99999,4,1964,0
943740-99999,4,1965,0
943740-99999,4,1966,0
943740-99999,4,1967,0
943740-99999,4,1968,0
943740-99999,5,1969,0
943740-99999,5,1970,0
943740-99999,5,1971,0
943740-99999,5,1972,0
943740-99999,5,1973,0
943740-99999,6,1974,0
943740-99999,6,1975,0
943740-99999,6,1976,0
943740-99999,6,1977,0
943740-99999,6,1978,0
943740-99999,7,1979,0
943740-99999,7,1980,0
943740-99999,7,1981,0
943740-99999,7,1982,0
943740-99999,7,1983,0
943740-99999,8,1984,1
943740-99999,8,1985,1
943740-99999,8,1986,1
943740-99999,8,1987,1
943740-99999,8,1988,1
943740-99999,9,1990,0
943740-99999,9,1991,0
943740-99999,9,1992,0
943740-99999,9,1993,0
943740-99999,9,1994,0
943740-99999,10,1995,0
943740-99999,10,1996,0
943740-99999,10,1997,0
943740-99999,10,1998,0
943740-99999,10,1999,0
943740-99999,11,2000,0
943740-99999,11,2001,0
943740-99999,11,2002,0
943740-99999,11,2003,0
943740-99999,11,2004,0
943740-99999,11,2005,0
943740-99999,11,2006,0
943740-99999,11,2007,0
943740-99999,11,2008,0
943740-99999,11,2009,0
943740-99999,12,2010,0
943740-99999,12,2011,0
943740-99999,12,2012,0
943740-99999,12,2013,0
