site_id,segment_id,year,state
763420-99999,1,1955,1
763420-99999,1,1956,1
763420-99999,1,1957,1
763420-99999,1,1958,1
763420-99999,1,1959,1
763420-99999,2,1960,1
763420-99999,2,1961,1
763420-99999,2,1962,1
763420-99999,2,1963,1
763420-99999,2,1964,1
763420-99999,3,1965,1
763420-99999,3,1966,1
763420-99999,3,1967,1
763420-99999,3,1968,1
763420-99999,3,1969,1
763420-99999,4,1970,1
763420-99999,4,1971,1
763420-99999,4,1972,1
763420-99999,4,1973,1
763420-99999,4,1974,1
763420-99999,5,1975,1
763420-99999,5,1976,1
763420-99999,5,1977,1
763420-99999,5,1978,1
763420-99999,5,1979,1
763420-99999,6,1980,1
763420-99999,6,1981,1
763420-99999,6,1982,1
763420-99999,6,1983,1
763420-99999,6,1984,1
763420-99999,7,1985,1
763420-99999,7,1986,1
763420-99999,7,1987,1
763420-99999,7,1988,1
763420-99999,7,1989,1
763420-99999,8,1990,1
763420-99999,8,1991,1
763420-99999,8,1992,1
763420-99999,8,1993,1
763420-99999,8,1994,1
763420-99999,9,1995,1
763420-99999,9,1996,1
763420-99999,9,1997,1
763420-99999,9,1998,1
763420-99999,9,1999,1
763420-99999,9,2000,1
763820-99999,0,1950,1
763820-99999,0,1951,1
763820-99999,0,1952,1
763820-99999,0,1953,1
763820-99999,0,1954,1
763820-99999,1,1955,1
763820-99999,1,1956,1
763820-99999,1,1957,1
763820-99999,1,1958,1
763820-99999,1,1959,1
763820-99999,2,1960,1
763820-99999,2,1961,1
763820-99999,2,1962,1
763820-99999,2,1963,1
763820-99999,2,1964,1
763820-99999,3,1965,0
763820-99999,3,1966,0
763820-99999,3,1967,0
763820-99999,3,1968,0
763820-99999,3,1969,0
763820-99999,4,1970,1
763820-99999,4,1971,1
763820-99999,4,1972,1
763820-99999,4,1973,1
763820-99999,4,1974,1
763820-99999,5,1975,1
763820-99999,5,1976,1
763820-99999,5,1977,1
763820-99999,5,1978,1
763820-99999,5,1979,1
763820-99999,6,1980,1
763820-99999,6,1981,1
763820-99999,6,1982,1
763820-99999,6,1983,1
763820-99999,6,1984,1
763820-99999,7,1985,1
763820-99999,7,1986,1
763820-99999,7,1987,1
763820-99999,7,1988,1
763820-99999,7,1989,1
763820-99999,8,1990,1
763820-99999,8,1991,1
763820-99999,8,1992,1
763820-99999,8,1993,1
763820-99999,8,1994,1
763820-99999,9,1995,1
763820-99999,9,1996,1
763820-99999,9,1997,1
763820-99999,9,1998,1
763820-99999,9,1999,1
