site_id,year,mean_temp,max_temp,min_temp,sea_level_pressure,wind_speed,precipitation,state,model_name
763420-99999,1935,5.369506015202894,3.8218687379685576,3.6096250689202303,1014.9791004138084,6.527153360271977,0.0356118560219477,0,gmm_2
763420-99999,1936,5.206224112482474,3.6239541617594857,3.5110892883607505,1014.9791004138084,6.527153360271977,0.0356118560219477,0,gmm_2
763420-99999,1937,5.042942209762053,3.4260395855503987,3.412553507801263,1014.9791004138084,6.527153360271977,0.0356118560219477,0,gmm_2
763420-99999,1938,4.879660307041632,3.2281250093413263,3.314017727241776,1014.9791004138084,6.527153360271977,0.0356118560219477,0,gmm_2
763420-99999,1939,4.716378404321212,3.0302104331322397,3.2154819466822886,1014.9791004138084,6.527153360271977,0.0356118560219477,0,gmm_2
763420-99999,1940,4.553096501600791,2.8322958569231673,3.1169461661228013,1014.9791004138084,6.527153360271977,0.0356118560219477,0,gmm_2
763420-99999,1941,4.3898145988803705,2.6343812807140807,3.018410385563314,1014.9791004138084,6.527153360271977,0.0356118560219477,0,gmm_2
763420-99999,1942,4.22653269615995,2.4364667045050084,2.919874605003834,1014.9791004138084,6.527153360271977,0.0356118560219477,0,gmm_2
763420-99999,1943,4.063250793439536,2.238552128295936,2.8213388244443465,1014.9791004138084,6.527153360271977,0.0356118560219477,0,gmm_2
763420-99999,1944,3.899968890719116,2.0406375520868494,2.722803043884859,1014.9791004138084,6.527153360271977,0.0356118560219477,0,gmm_2
763420-99999,1945,3.736686987998695,1.842722975877777,2.624267263325372,1014.9791004138084,6.527153360271977,0.0356118560219477,0,gmm_2
763420-99999,1946,3.5734050852782744,1.6448083996686904,2.525731482765885,1014.9791004138084,6.527153360271977,0.0356118560219477,0,gmm_2
763420-99999,1947,3.4101231825578537,1.446893823459618,2.4271957022063972,1014.9791004138084,6.527153360271977,0.0356118560219477,0,gmm_2
763420-99999,1948,3.246841279837433,1.2489792472505314,2.328659921646917,1014.9791004138084,6.527153360271977,0.0356118560219477,0,gmm_2
763420-99999,1949,8.056732944895117,10.4466195261502,4.267919400208008,1013.2784313725492,1.9026706231454007,0.0582789317507418,0,gmm_2
763420-99999,1950,10.61503194850983,14.7396742302152,6.275559898379193,1012.5720547945206,3.086980609418283,0.0175783475783475,0,gmm_2
763420-99999,1951,9.607366484145572,13.015787141669977,5.635654254806006,1012.4057534246576,3.1112328767123287,0.0246176470588235,0,gmm_2
763420-99999,1952,8.43300515931272,11.611162062848765,4.914214065233871,1013.2245901639344,2.9478142076502736,0.0161823361823361,0,gmm_2
763420-99999,1953,8.980802678704734,11.718237381092848,5.65310324163223,1012.7120547945208,3.752054794520548,0.0236705202312138,0,gmm_2
763420-99999,1954,8.268753652696645,10.881418695294755,5.603334584360432,1013.1334246575344,3.6,0.0280392156862745,0,gmm_2
763420-99999,1955,6.972047092441969,9.44306818477854,4.250552228458474,1012.7542465753424,3.43013698630137,0.0417977528089887,0,gmm_2
763420-99999,1956,7.689986838048526,10.45720867604524,4.353677500372974,1013.2180327868851,3.3418032786885243,0.0148333333333333,0,gmm_2
