site_id,segment_id,start_idx,end_idx,start_date,end_date,length
479300-99999,4,20,24,1970-01-01,1974-01-01,5
479300-99999,5,25,34,1975-01-01,1984-01-01,10
479300-99999,6,35,39,1985-01-01,1989-01-01,5
479300-99999,7,40,44,1990-01-01,1994-01-01,5
479300-99999,8,45,50,1995-01-01,2000-01-01,6
479810-99999,0,0,4,1950-01-01,1954-01-01,5
479810-99999,1,5,9,1955-01-01,1959-01-01,5
479810-99999,2,10,14,1960-01-01,1964-01-01,5
479810-99999,3,15,19,1965-01-01,1969-01-01,5
479810-99999,4,20,24,1970-01-01,1974-01-01,5
479810-99999,5,25,29,1975-01-01,1979-01-01,5
479810-99999,6,30,34,1980-01-01,1984-01-01,5
479810-99999,7,35,39,1985-01-01,1989-01-01,5
479810-99999,8,40,44,1990-01-01,1994-01-01,5
479810-99999,9,45,50,1995-01-01,2000-01-01,6
722265-13821,0,0,4,1950-01-01,1954-01-01,5
722265-13821,1,5,9,1955-01-01,1959-01-01,5
722265-13821,2,10,14,1960-01-01,1964-01-01,5
722265-13821,3,15,19,1965-01-01,1969-01-01,5
722265-13821,4,20,24,1970-01-01,1974-01-01,5
722265-13821,5,25,29,1975-01-01,1979-01-01,5
722265-13821,6,30,34,1980-01-01,1984-01-01,5
722265-13821,7,35,39,1985-01-01,1989-01-01,5
722265-13821,8,40,44,1990-01-01,1994-01-01,5
722265-13821,9,45,50,1995-01-01,2000-01-01,6
722860-23119,0,0,4,1950-01-01,1954-01-01,5
722860-23119,1,5,9,1955-01-01,1959-01-01,5
722860-23119,2,10,14,1960-01-01,1964-01-01,5
722860-23119,3,15,19,1965-01-01,1969-01-01,5
722860-23119,4,20,24,1970-01-01,1974-01-01,5
722860-23119,5,25,29,1975-01-01,1979-01-01,5
722860-23119,6,30,34,1980-01-01,1984-01-01,5
722860-23119,7,35,39,1985-01-01,1989-01-01,5
722860-23119,8,40,44,1990-01-01,1994-01-01,5
722860-23119,9,45,50,1995-01-01,2000-01-01,6
724050-13743,0,0,4,1950-01-01,1954-01-01,5
724050-13743,1,5,9,1955-01-01,1959-01-01,5
724050-13743,2,10,14,1960-01-01,1964-01-01,5
724050-13743,3,15,19,1965-01-01,1969-01-01,5
724050-13743,4,20,24,1970-01-01,1974-01-01,5
724050-13743,5,25,29,1975-01-01,1979-01-01,5
724050-13743,6,30,34,1980-01-01,1984-01-01,5
724050-13743,7,35,39,1985-01-01,1989-01-01,5
724050-13743,8,40,44,1990-01-01,1994-01-01,5
724050-13743,9,45,50,1995-01-01,2000-01-01,6
761600-99999,0,0,4,1950-01-01,1954-01-01,5
761600-99999,1,5,9,1955-01-01,1959-01-01,5
761600-99999,2,10,14,1960-01-01,1964-01-01,5
761600-99999,3,15,19,1965-01-01,1969-01-01,5
761600-99999,4,20,24,1970-01-01,1974-01-01,5
761600-99999,5,25,29,1975-01-01,1979-01-01,5
